"Harvested","Processed","Bay","Site","Ident","Midpoint","Side_of_Boat","Sample_ID","Quadrat","Weight_kg","Total_Adults_75mm","Total_Seed_26_74mm","Total_Spat_0_25mm","Total_Dead","notes","RowID","LocationID","Total_Live","Side_of_Bay","Round"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Bow","R-8M-MP2-B1","1","0.40999999999999998","0","0","0","0",NULL,"1","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Bow","R-8M-MP2-B2","2","0.34999999999999998","0","0","0","0",NULL,"2","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Bow","R-8M-MP2-B3","3","3.46","0","0","0","1",NULL,"3","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Bow","R-8M-MP2-B4","4","2.0699999999999998","0","0","0","0",NULL,"4","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Bow","R-8M-MP2-B5","5","3.29","0","0","0","0",NULL,"5","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Starboard","R-8M-MP2-S1","1","0.81000000000000005","0","0","0","1",NULL,"6","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Starboard","R-8M-MP2-S2","2","1.1799999999999999","0","0","0","0",NULL,"7","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Starboard","R-8M-MP2-S3","3","0","0","0","0","0","No sample in quadrat","8","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Starboard","R-8M-MP2-S4","4","0.19","0","0","0","0",NULL,"9","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Starboard","R-8M-MP2-S5","5","0.34000000000000002","0","0","0","0",NULL,"10","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Port","R-8M-MP2-P1","1","4.8499999999999996","0","0","0","1",NULL,"11","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Port","R-8M-MP2-P2","2","5.4400000000000004","0","0","0","0",NULL,"12","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Port","R-8M-MP2-P3","3","4.2699999999999996","0","0","0","3",NULL,"13","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Port","R-8M-MP2-P4","4","4.6100000000000003","0","0","0","0",NULL,"14","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP2","MP2","Port","R-8M-MP2-P5","5","6.8200000000000003","0","0","0","2",NULL,"15","1059262","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Bow","R-K9M-MP1-B1","1","0.62","0","0","0","0",NULL,"16","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Bow","R-K9M-MP1-B2","2","0.62","0","0","0","0",NULL,"17","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Bow","R-K9M-MP1-B3","3","0.20999999999999999","0","0","0","0",NULL,"18","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Bow","R-K9M-MP1-B4","4","0.35999999999999999","0","0","0","0",NULL,"19","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Bow","R-K9M-MP1-B5","5","0.28000000000000003","0","0","0","0",NULL,"20","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Port","R-K9M-MP1-P1","1","0.80000000000000004","0","0","0","0",NULL,"21","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Port","R-K9M-MP1-P2","2","1.3100000000000001","0","0","0","1",NULL,"22","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Port","R-K9M-MP1-P3","3","2.8799999999999999","0","0","0","0",NULL,"23","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Port","R-K9M-MP1-P4","4","1.6399999999999999","0","0","0","0",NULL,"24","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Port","R-K9M-MP1-P5","5","4.1399999999999997","0","0","0","0",NULL,"25","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Starboard","R-K9M-MP1-S1","1","0.46999999999999997","0","0","0","0",NULL,"26","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Starboard","R-K9M-MP1-S2","2","0.40999999999999998","0","0","0","0",NULL,"27","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Starboard","R-K9M-MP1-S3","3","0.40999999999999998","0","0","0","0",NULL,"28","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Starboard","R-K9M-MP1-S4","4","0.46999999999999997","0","0","0","0",NULL,"29","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","King 9 Mile","R-K9M-MP1","MP1","Starboard","R-K9M-MP1-S5","5","0.46999999999999997","0","0","0","0",NULL,"30","1059279","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Bow","R-8M-MP1-B1","1","5.5199999999999996","0","0","0","1",NULL,"31","1059261","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Bow","R-8M-MP1-B2","2","9.1500000000000004","0","3","0","0",NULL,"32","1059261","3",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Bow","R-8M-MP1-B3","3","6.4900000000000002","0","2","0","1",NULL,"33","1059261","2",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Bow","R-8M-MP1-B4","4","4.1100000000000003","0","2","0","3",NULL,"34","1059261","2",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Bow","R-8M-MP1-B5","5","5.7699999999999996","0","0","0","2",NULL,"35","1059261","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Starboard","R-8M-MP1-S1","1","5.1100000000000003","0","3","0","3",NULL,"36","1059261","3",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Starboard","R-8M-MP1-S2","2","4.3099999999999996","0","0","0","0",NULL,"37","1059261","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Starboard","R-8M-MP1-S3","3","4.2000000000000002","0","0","0","0",NULL,"38","1059261","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Starboard","R-8M-MP1-S4","4","4.5800000000000001","0","2","0","0",NULL,"39","1059261","2",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Starboard","R-8M-MP1-S5","5","6.5999999999999996","0","1","0","1",NULL,"40","1059261","1",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Port","R-8M-MP1-P1","1","4.8700000000000001","0","0","0","2",NULL,"41","1059261","0",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Port","R-8M-MP1-P2","2","6.2400000000000002","0","1","0","1",NULL,"42","1059261","1",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Port","R-8M-MP1-P3","3","4.71","0","1","0","1",NULL,"43","1059261","1",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Port","R-8M-MP1-P4","4","5.9800000000000004","0","1","0","2",NULL,"44","1059261","1",NULL,"1"
"Jun 14 2018 12:00AM","Jun 14 2018 12:00AM","Apalachicola Bay","8 Mile ","R-8M-MP1","MP1","Port","R-8M-MP1-P5","5","4.8499999999999996","0","1","0","0",NULL,"45","1059261","1",NULL,"1"
"Jun 25 2018 12:00AM","Jun 29 2018 12:00AM","Apalachicola Bay","North Spur 2","R-NS2-MP1","MP1","Bow","R-NS2-MP1-B1","1","3.9100000000000001","0","8","55","0",NULL,"46","1059282","63",NULL,"1"
"Jun 25 2018 12:00AM","Jun 29 2018 12:00AM","Apalachicola Bay","North Spur 2","R-NS2-MP1","MP1","Bow","R-NS2-MP1-B2","2","4.1900000000000004","0","11","40","3",NULL,"47","1059282","51",NULL,"1"
