"Survey","Date","StationName","StationNumber","Cultch","Quadrat","TotalVol","TotalWt","LiveSpat","Drills","Year","Month","Day","Period","season"
1,2015-10-06,"NFWF Bulkhead",1,0,1,0.15,0.24,19,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,2,0.2,0.3,5,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,3,0.2,0.36,29,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,4,0.15,0.16,2,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,5,0.25,0.38,30,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,6,0.15,0.19,0,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,7,0.25,0.38,13,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,8,0.35,0.73,28,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,9,0.2,0.33,38,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,10,0.25,0.32,31,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,11,0.25,0.37,16,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,12,0.05,0.09,2,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,13,0.2,0.28,4,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,14,0.05,0.27,8,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",1,0,15,0.25,0.47,32,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,1,2,4,910,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,2,3.25,7.2,1883,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,3,2.5,6,1035,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,4,2,4.89,1257,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,5,3,6,1669,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,6,1.75,3,850,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,7,2.75,6.5,1077,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,8,3.25,7.6,1415,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,9,1.5,3,792,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,10,2,4,1319,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,11,2,3.5,833,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,12,0.85,1.83,228,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,13,1,2.74,589,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,14,1,1.8,340,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",2,200,15,0.75,1.73,213,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,1,3,5.86,1066,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,2,2.5,5.38,1480,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,3,2.25,5,1372,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,4,2,4.25,1041,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,5,3,6,1793,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,6,2.4,5.27,1427,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,7,1.1,3,849,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,8,1.5,3,782,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,9,0.6,1.23,199,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,10,1,1.89,516,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,11,0.5,0.97,190,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,12,0.75,1.59,287,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,13,0.75,1.55,247,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,14,1.4,3.1,892,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,15,1,2.03,360,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",3,100,16,0.75,1.71,283,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,1,7,14.25,2039,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,2,4.5,9.5,NA,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,3,4.5,9.75,1996,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,4,1,2.28,484,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,5,0.4,0.86,156,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,6,0.1,0.4,0,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,7,0.25,0.54,50,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,8,0.25,0.4,0,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,9,0.25,0.47,7,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,10,0.15,0.31,9,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,11,2.5,6,1159,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,12,3.5,7,1580,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,13,9.25,21.6,4636,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,14,3,7.2,1365,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",4,400,15,4.75,11.37,2611,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,1,10,21,3390,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,2,0.35,0.7,87,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,3,0.45,0.7,75,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,4,0.3,0.6,41,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,5,1.15,2.5,485,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,6,0.75,1.8,489,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,7,0.75,1.8,367,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,8,1.25,2.7,901,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,9,7.5,16,3059,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,10,2.5,5.75,1036,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,11,7.5,15.75,2298,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,12,2.5,5.75,1053,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,13,0.7,1.72,305,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,14,8.3,17.6,2571,NA,2015,10,6,2,"Winter"
1,2015-10-06,"NFWF Bulkhead",5,300,15,2.75,6.43,1645,NA,2015,10,6,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,1,0.9,2.04,194,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,2,0.6,1.41,79,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,3,0.5,1.15,32,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,4,5,11.5,2127,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,5,4.25,9,2250,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,6,4,8.5,1642,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,7,2.25,5,364,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,8,2,5.01,1078,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,9,1.25,2.45,205,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,10,1.25,2.6,367,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,11,4,9.4,1856,NA,2015,10,14,2,"Winter"
