"Period","StationName","mean","std_dev"
2,"NFWF Bulkhead",560.053333333333,725.776240654709
2,"NFWF Dry Bar",253.362416107383,547.136800606491
2,"NFWF Hotel Bar",623.55033557047,1118.85236470379
3,"NFWF Bulkhead",55.4066666666667,87.9915414381021
3,"NFWF Dry Bar",22.84,51.5761091355004
3,"NFWF Hotel Bar",70.7466666666667,127.180481949135
4,"NFWF Bulkhead",171.146666666667,160.840217793795
4,"NFWF Dry Bar",25.1,46.5849516273314
4,"NFWF Hotel Bar",201.82,181.918488642763
5,"NFWF Bulkhead",107.546666666667,111.99458200382
5,"NFWF Dry Bar",2.39333333333333,6.19471160761871
5,"NFWF Hotel Bar",68.4466666666667,73.5229075991589
6,"NFWF Bulkhead",162.093333333333,148.176493107442
6,"NFWF Dry Bar",14.5866666666667,16.0373668806735
6,"NFWF Hotel Bar",89.2733333333333,98.0961654366677
7,"NFWF Bulkhead",55.5066666666667,55.9614856371805
7,"NFWF Dry Bar",0.913333333333333,2.12980342750711
7,"NFWF Hotel Bar",15.7666666666667,30.6238089299498
8,"NFWF Bulkhead",11.32,22.6728469005809
8,"NFWF Dry Bar",1.27333333333333,2.1702585955053
8,"NFWF Hotel Bar",18.5933333333333,20.1084631642436
9,"NFWF Bulkhead",8.00666666666667,14.9241917329359
9,"NFWF Dry Bar",0.906666666666667,1.82946306960335
9,"NFWF Hotel Bar",1.40666666666667,2.61922850126415
